Servicio Meteorológico Nacional,,,,,,,,,,
Red: SMN-ESMA,,,,,,,,,,
Estación: PUEBLA,,,,,,,,,,
Estado: Puebla,,,,,,,,,,
Municipio: Puebla,,,,,,,,,,
Latitud (N): 19.05472,,,,,,,,,,
Longitud (O): -98.16333,,,,,,,,,,
Altitud: 2194,,,,,,,,,,
,,,,,,,,,,
Fecha Local,Fecha UTC,Temperatura del Aire (°C),Precipitación (mm),Humedad relativa (%),Presión Atmosférica (hpa),Radiación Solar (W/m²),Dirección del Viento (grados),Rapidez de viento (km/h),Dirección de ráfaga (grados),Rapidez de ráfaga (km/h)
08/03/2023 23:50,09/03/2023 05:50,15.7,0,42,788,,69,7.56,113,13.32
08/03/2023 23:40,09/03/2023 05:40,15.7,0,40,788.1,,76,6.48,149,11.16
08/03/2023 23:30,09/03/2023 05:30,15.6,0,42,788,,107,5.04,173,11.52
08/03/2023 23:20,09/03/2023 05:20,15.5,0,41,788,,130,3.96,283,12.24
08/03/2023 23:10,09/03/2023 05:10,15.7,0,47,788,,154,3.96,214,8.64
08/03/2023 23:00,09/03/2023 05:00,16.1,0,46,787.9,,126,6.12,178,14.04
08/03/2023 22:50,09/03/2023 04:50,16.3,0,47,788,,141,7.92,208,16.2
08/03/2023 22:40,09/03/2023 04:40,16.4,0,48,788.1,,199,5.76,293,14.76
08/03/2023 22:30,09/03/2023 04:30,16.3,0,46,787.7,,4,6.12,169,16.56
08/03/2023 22:20,09/03/2023 04:20,16.8,0,50,787.4,,48,11.52,106,20.16
08/03/2023 22:10,09/03/2023 04:10,16.8,0,51,787.2,,83,12.24,142,24.12
08/03/2023 22:00,09/03/2023 04:00,16.9,0,55,787.1,,88,14.76,130,24.84
08/03/2023 21:50,09/03/2023 03:50,17,0,55,787,,86,13.32,146,23.76
08/03/2023 21:40,09/03/2023 03:40,17.2,0,54,787,,89,13.32,157,27.72
08/03/2023 21:30,09/03/2023 03:30,17.4,0,53,786.8,,89,12.6,144,24.84
08/03/2023 21:20,09/03/2023 03:20,17.7,0,51,786.8,,87,12.96,157,25.56
08/03/2023 21:10,09/03/2023 03:10,18.1,0,50,786.7,,83,13.32,134,27.36
08/03/2023 21:00,09/03/2023 03:00,18.4,0,51,786.6,,84,14.04,160,25.56
08/03/2023 20:50,09/03/2023 02:50,18.7,0,50,786.6,,100,13.68,164,25.2
08/03/2023 20:40,09/03/2023 02:40,19.2,0,49,786.4,,92,11.52,156,25.2
08/03/2023 20:30,09/03/2023 02:30,19.4,0,48,786.2,,95,10.44,163,24.84
08/03/2023 20:20,09/03/2023 02:20,19.6,0,47,786.1,,95,13.68,171,27.36
08/03/2023 20:10,09/03/2023 02:10,19.9,0,47,785.9,,94,16.2,153,25.92
08/03/2023 20:00,09/03/2023 02:00,20.1,0,47,785.9,,89,14.4,147,27
08/03/2023 19:50,09/03/2023 01:50,20.5,0,46,785.8,,93,11.88,173,24.48
08/03/2023 19:40,09/03/2023 01:40,21.2,0,42,785.6,,80,12.96,129,23.76
08/03/2023 19:30,09/03/2023 01:30,22,0,30,785.4,,93,12.24,154,24.48
08/03/2023 19:20,09/03/2023 01:20,22.3,0,28,785.3,,94,10.8,183,23.76
08/03/2023 19:10,09/03/2023 01:10,22.4,0,30,785.2,,117,7.92,262,26.28
08/03/2023 19:00,09/03/2023 01:00,22.4,0,32,785.1,,236,5.4,303,16.2
08/03/2023 18:50,09/03/2023 00:50,22.6,0,32,784.8,,258,7.56,335,17.64
08/03/2023 18:40,09/03/2023 00:40,22.9,0,32,784.6,,254,7.92,19,18.72
08/03/2023 18:30,09/03/2023 00:30,23.3,0,31,784.4,13,236,10.44,319,21.24
08/03/2023 18:20,09/03/2023 00:20,23.8,0,31,784.2,31,227,10.08,312,20.16
08/03/2023 18:10,09/03/2023 00:10,24.3,0,29,784.2,65,219,10.44,347,20.52
08/03/2023 18:00,09/03/2023 00:00,24.8,0,28,784.1,116,221,11.16,290,24.84
08/03/2023 17:50,08/03/2023 23:50,25.1,0,27,784,139,187,11.16,257,22.32
08/03/2023 17:40,08/03/2023 23:40,25.6,0,26,784,184,180,10.44,277,21.24
08/03/2023 17:30,08/03/2023 23:30,26.2,0,25,783.9,247,202,11.88,252,26.28
08/03/2023 17:20,08/03/2023 23:20,26.3,0,25,783.9,309,210,11.88,266,21.6
08/03/2023 17:10,08/03/2023 23:10,26.6,0,24,783.9,304,185,11.52,247,21.96
08/03/2023 17:00,08/03/2023 23:00,26.7,0,23,783.8,331,195,11.88,252,26.64
08/03/2023 16:50,08/03/2023 22:50,26.9,0,23,783.8,371,190,11.88,284,29.16
08/03/2023 16:40,08/03/2023 22:40,27.1,0,24,783.9,406,210,11.88,272,22.68
08/03/2023 16:30,08/03/2023 22:30,27.2,0,23,783.9,428,183,11.88,250,24.84
08/03/2023 16:20,08/03/2023 22:20,27.1,0,23,783.9,469,192,12.24,245,24.48
08/03/2023 16:10,08/03/2023 22:10,27.4,0,22,783.9,506,194,11.16,251,28.8
08/03/2023 16:00,08/03/2023 22:00,27.3,0,22,783.9,538,216,15.48,257,29.88
